PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,source_file
28,79,56,81,28079056_81_98,2021,9,1,1.79,V,1.64,V,1.25,V,0.97,V,1.27,V,1.26,V,2.31,V,1.11,V,1.07,V,1.78,V,1.58,V,1.22,V,1.21,V,1.33,V,1.26,V,1.1,V,0.95,V,0.98,V,1.14,V,1.24,V,0.88,V,1.13,V,0.77,V,0.78,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,2,0.67,V,0.67,V,0.87,V,0.56,V,0.5,V,0.66,V,0.75,V,0.87,V,0.61,V,0.94,V,1.22,V,1.26,V,1.15,V,1.22,V,1.38,V,1.6,V,0.98,V,0.79,V,1.14,V,1.59,V,0.84,V,0.72,V,0.66,V,0.66,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,3,0.56,V,0.56,V,0.65,V,0.51,V,0.59,V,0.55,V,0.64,V,0.6,V,0.7,V,0.71,V,0.8,V,1.06,V,1.17,V,1.46,V,1.53,V,1.64,V,1.55,V,1.48,V,1.13,V,0.76,V,0.54,V,0.54,V,0.51,V,0.65,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,4,0.57,V,0.51,V,0.59,V,0.65,V,0.62,V,0.6,V,0.6,V,0.67,V,0.67,V,0.72,V,0.9,V,1.04,V,1.04,V,1.22,V,1.41,V,1.52,V,1.43,V,1.27,V,1.1,V,0.97,V,0.53,V,0.51,V,0.52,V,0.6,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,5,0.72,V,0.71,V,0.63,V,0.52,V,0.55,V,0.68,V,0.55,V,0.59,V,0.55,V,1.17,V,1.78,V,1.64,V,1.36,V,1.33,V,1.26,V,1.24,V,1.37,V,1.32,V,1.06,V,0.83,V,0.51,V,0.51,V,0.52,V,0.6,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,6,0.65,V,0.64,V,0.73,V,0.75,V,1.34,V,1.49,V,1.06,V,0.94,V,1.05,V,1.7,V,1.85,V,1.78,V,1.67,V,1.15,V,1.7,V,2.09,V,2.09,V,1.81,V,1.24,V,1.11,V,1.07,V,1.05,V,0.97,V,0.99,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,7,1.01,V,0.75,V,0.65,V,0.55,V,0.65,V,0.56,V,0.52,V,0.51,V,0.6,V,0.71,V,0.75,V,1.05,V,1.19,V,1.21,V,1.55,V,1.99,V,2.08,V,1.6,N,1.82,V,1.31,V,0.93,V,0.73,V,0.54,V,0.63,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,8,0.68,V,0.57,V,0.51,V,0.72,V,0.9,V,0.84,V,0.72,V,0.6,V,0.75,V,1.06,V,1.86,V,2.21,V,2.4,V,2.4,V,2.43,V,2.18,V,2.19,V,2.22,V,1.8,V,1.58,V,1.72,V,1.44,V,1.3,V,0.91,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,9,0.9,V,0.75,V,0.76,V,1.14,V,1.01,V,0.72,V,0.61,V,0.69,V,0.7,V,0.84,V,0.92,V,1.17,V,1.31,V,1.65,V,1.6,V,1.79,V,1.72,V,1.37,V,1.39,V,1.24,V,0.86,V,0.72,V,0.72,V,0.61,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,10,0.7,V,1.05,V,0.78,V,0.8,V,0.76,V,0.85,V,0.64,V,0.76,V,0.86,V,1.13,V,1.08,V,1.31,V,1.56,V,1.88,V,2.05,V,1.86,V,1.89,V,2.0,V,1.56,V,1.63,V,1.46,V,1.34,V,1.07,V,1.25,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,11,0.78,V,0.6,V,0.54,V,0.61,V,0.55,V,0.54,V,0.72,V,0.63,V,0.58,V,0.62,V,0.77,V,0.76,V,1.09,V,1.35,V,1.42,V,1.59,V,1.58,V,1.22,V,1.12,V,0.83,V,0.75,V,0.51,V,0.51,V,0.52,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,12,0.59,V,0.57,V,0.61,V,0.59,V,0.6,V,0.56,V,0.7,V,0.73,V,0.56,V,0.91,V,1.15,V,1.31,V,1.32,V,1.47,V,1.31,V,1.31,V,1.29,V,1.27,N,0.98,V,0.59,V,0.51,V,0.5,V,0.51,V,0.59,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,13,0.65,V,0.52,V,0.56,V,0.59,V,0.57,V,0.5,V,0.57,V,0.66,V,0.64,V,0.72,V,0.74,V,0.86,V,0.93,V,1.15,V,1.23,V,1.76,V,1.39,V,0.93,V,1.06,V,1.01,V,0.71,V,1.05,V,1.33,V,1.17,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,14,1.62,V,1.04,V,0.82,V,1.2,V,0.9,V,0.79,V,0.85,V,1.22,V,1.05,V,1.26,V,1.24,V,1.41,V,1.04,V,0.87,V,1.14,V,1.4,V,1.6,V,1.43,V,0.95,V,0.77,V,0.96,V,0.74,V,0.82,V,0.62,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,15,0.53,V,0.51,V,0.54,V,0.55,V,0.52,V,0.51,V,0.56,V,0.67,V,0.86,V,0.8,V,0.97,V,1.13,V,1.36,V,1.5,V,1.34,V,1.31,V,1.17,V,1.19,V,1.09,V,1.0,V,0.76,V,0.61,V,0.55,V,0.53,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,16,0.53,V,0.52,V,0.51,V,0.5,V,0.52,V,0.61,V,0.59,V,0.71,V,0.74,V,0.87,V,0.93,V,1.03,V,1.13,V,1.1,V,1.3,V,1.04,V,1.16,V,1.01,V,1.04,V,0.85,V,1.15,V,0.79,V,0.65,V,0.59,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,17,0.61,V,0.66,V,0.61,V,0.65,V,0.61,V,0.55,V,0.6,V,0.65,V,0.7,V,0.79,V,0.9,V,0.88,V,1.05,V,1.41,V,1.5,V,1.77,V,1.49,V,1.69,N,1.23,V,1.03,V,0.64,V,0.7,V,0.61,V,0.95,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,18,0.57,V,0.56,V,0.63,V,0.59,V,0.54,V,0.51,V,0.6,V,0.73,V,0.67,V,0.6,V,0.76,V,1.18,V,1.52,V,1.71,V,2.03,V,1.9,V,1.57,V,1.47,V,1.7,V,2.16,V,1.46,V,1.2,V,0.92,V,0.58,V,METEO_0.csv
28,79,56,81,28079056_81_98,2021,9,19,1.23,V,0.75,V,0.66,V,0.64,V,0.76,V,0.74,V,0.73,V,0.62,V,0.71,V,0.68,V,1.12,V,1.8,V,1.32,V,1.26,V,1.37,V,1.22,V,1.21,V,0.95,V,0.79,V,0.6,V,0.53,V,0.51,V,0.58,V,0.56,V,METEO_0.csv
