FDIA,FEST,HOR1,HOR2,HOR3,HOR4,HOR5,HOR6,HOR7,HOR8,HOR9,HOR10,HOR11,HOR12,HOR13,HOR14,HOR15,HOR16,HOR17,HOR18,HOR19,HOR20,HOR21,HOR22,HOR23,HOR24
01/01/19,ES10,415.0,757.0,624.0,474.0,285.0,258.0,295.0,227.0,176.0,146.0,169.0,227.0,367.0,487.0,513.0,360.0,431.0,499.0,557.0,590.0,481.0,396.0,283.0,215.0
01/01/19,ES22,580.0,1959.0,2075.0,1252.0,915.0,724.0,667.0,606.0,474.0,412.0,521.0,656.0,837.0,1157.0,1403.0,949.0,980.0,1235.0,1723.0,1814.0,1679.0,1434.0,1103.0,903.0
01/01/19,ES30,315.0,1096.0,1004.0,618.0,467.0,371.0,314.0,337.0,278.0,271.0,278.0,333.0,429.0,547.0,750.0,583.0,491.0,591.0,933.0,891.0,844.0,676.0,533.0,427.0
01/01/19,ES32,428.0,1286.0,1172.0,738.0,541.0,483.0,460.0,395.0,266.0,268.0,290.0,343.0,467.0,653.0,794.0,608.0,463.0,673.0,878.0,974.0,865.0,800.0,524.0,430.0
01/01/19,ES53,489.0,732.0,567.0,495.0,335.0,266.0,347.0,293.0,221.0,254.0,250.0,309.0,393.0,513.0,547.0,496.0,537.0,594.0,701.0,711.0,615.0,514.0,464.0,331.0
01/01/19,ES54,362.0,650.0,478.0,333.0,239.0,211.0,245.0,228.0,147.0,141.0,135.0,174.0,299.0,417.0,477.0,447.0,419.0,461.0,558.0,519.0,477.0,439.0,324.0,233.0
01/01/20,ES10,450.0,796.0,653.0,439.0,332.0,291.0,279.0,235.0,180.0,156.0,167.0,244.0,363.0,459.0,498.0,362.0,353.0,501.0,612.0,580.0,499.0,403.0,331.0,230.0
01/01/20,ES22,630.0,1997.0,2010.0,1319.0,935.0,718.0,719.0,595.0,464.0,384.0,415.0,598.0,808.0,1156.0,1452.0,934.0,908.0,1309.0,1677.0,1679.0,1693.0,1272.0,1063.0,823.0
01/01/20,ES30,345.0,1074.0,939.0,556.0,453.0,296.0,317.0,266.0,236.0,201.0,245.0,274.0,396.0,522.0,686.0,493.0,466.0,664.0,792.0,802.0,862.0,621.0,499.0,390.0
01/01/20,ES32,428.0,1155.0,1008.0,668.0,488.0,396.0,364.0,319.0,260.0,220.0,239.0,318.0,444.0,616.0,772.0,570.0,494.0,645.0,844.0,889.0,784.0,663.0,544.0,422.0
01/01/20,ES53,488.0,763.0,576.0,482.0,407.0,350.0,353.0,295.0,227.0,214.0,234.0,289.0,349.0,536.0,513.0,551.0,522.0,603.0,697.0,706.0,582.0,499.0,470.0,345.0
01/01/20,ES54,399.0,661.0,467.0,349.0,237.0,224.0,248.0,220.0,203.0,151.0,145.0,181.0,299.0,500.0,514.0,472.0,385.0,443.0,553.0,569.0,521.0,380.0,328.0,245.0
