FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/04/19;ES01;1-;193;133;99;97;214;791;2284;2797;2659;2113;1873;1885
01/04/19;ES01;1=;2177;2252;1744;1959;1776;2071;2190;1895;1327;745;586;497
01/04/19;ES01;2-;212;140;120;91;165;375;828;1512;1809;1353;1381;1375
01/04/19;ES01;2=;1365;1333;1234;1409;1531;1866;1628;1107;783;622;405;296
01/04/19;ES02;1-;195;141;96;78;119;339;772;1120;1235;1007;1049;1057
01/04/19;ES02;1=;1015;995;901;918;1020;1064;1006;787;694;548;365;298
01/04/19;ES02;2-;205;128;96;153;137;610;1345;1249;1433;1529;1308;1127
01/04/19;ES02;2=;1059;1100;1041;890;1005;1027;1013;1009;926;901;594;384
01/04/19;ES03;1-;132;83;71;96;105;830;2894;2626;2723;2739;2350;1872
01/04/19;ES03;1=;1843;1673;1874;1863;1790;1973;1935;1864;1530;1062;451;271
01/04/19;ES03;2-;114;70;49;42;53;182;601;1258;1030;1118;1196;1294
01/04/19;ES03;2=;1546;1611;1795;1554;1902;1549;1778;1895;1584;651;452;281
01/04/19;ES04;1-;66;42;30;73;49;218;976;1267;1376;1358;1094;1030
01/04/19;ES04;1=;951;1058;1068;1009;1082;1103;1165;1130;814;374;246;145
01/04/19;ES04;2-;67;41;27;43;26;153;503;925;848;718;630;721
01/04/19;ES04;2=;676;1129;912;903;754;884;919;976;882;347;357;177
01/04/19;ES05;1-;565;391;271;213;379;718;1340;1866;2010;2039;2250;2329
01/04/19;ES05;1=;2637;2934;2524;2576;2933;3281;3182;2663;2038;1467;1113;1058
01/04/19;ES05;2-;173;119;101;138;452;1402;2227;2304;2183;1891;1666;1725
01/04/19;ES05;2=;1579;1800;1727;1719;1792;1757;1666;1442;1143;783;495;297
01/04/19;ES06;1-;48;32;23;25;65;293;1062;1181;1029;815;786;838
01/04/19;ES06;1=;873;845;811;864;972;1191;1024;822;580;303;151;102
01/04/19;ES06;2-;55;24;19;26;54;201;650;1062;853;730;742;761
01/04/19;ES06;2=;790;800;804;874;970;1072;869;719;483;301;147;125
01/04/19;ES07;1-;506;291;148;106;99;175;801;2046;2710;2159;1758;1991
01/04/19;ES07;1=;2141;2566;3542;3563;3049;3422;4000;3613;2819;2315;1482;913
01/04/19;ES07;2-;355;168;103;86;126;551;3555;4619;3943;3269;2465;2234
01/04/19;ES07;2=;2156;2386;3000;2732;2455;2475;2591;2174;2008;1781;1048;557
01/04/19;ES08;1-;360;280;237;204;256;426;653;694;795;900;861;856
01/04/19;ES08;1=;838;853;846;830;867;846;894;785;689;647;554;527
01/04/19;ES08;2-;373;269;215;259;294;445;760;1072;1012;1015;1003;989
01/04/19;ES08;2=;983;967;876;966;901;917;938;861;762;658;579;458
01/04/19;ES09;1-;575;0;0;377;368;408;823;756;891;965;1046;1118
01/04/19;ES09;1=;1114;996;960;853;919;954;903;984;1066;780;765;622
01/04/19;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES10;2-;202;130;100;61;81;150;446;660;726;614;568;629
01/04/19;ES10;2=;595;635;656;658;639;683;662;599;626;548;450;248
01/04/19;ES11;1-;981;526;227;112;88;130;518;4141;5598;5186;5125;4628
01/04/19;ES11;1=;3488;3280;3580;4745;4244;3948;3870;4084;3798;3203;2512;1443
01/04/19;ES11;2-;1516;625;267;138;114;141;337;1518;3732;5064;4387;3238
01/04/19;ES11;2=;3386;3249;3263;5698;5535;4995;4965;3664;4291;3851;2775;2293
01/04/19;ES12;1-;370;205;182;213;414;1291;1612;1082;1634;2007;1901;1986
01/04/19;ES12;1=;1827;1560;1927;1989;1736;1504;1071;1867;1851;1295;859;609
01/04/19;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES13;1-;318;129;97;113;168;453;1160;1507;1537;1377;1344;1417
01/04/19;ES13;1=;1416;1452;1300;1433;1430;1471;1496;1368;1329;726;587;439
01/04/19;ES13;2-;503;207;156;139;184;414;1436;1810;1984;1775;1803;1859
01/04/19;ES13;2=;1890;1912;1757;1727;1792;1915;1962;1587;1402;927;800;606
01/04/19;ES14;1-;26;15;10;16;24;95;239;563;514;435;382;456
01/04/19;ES14;1=;440;391;389;406;431;437;426;338;214;162;106;80
01/04/19;ES14;2-;16;18;5;11;13;64;137;222;257;293;317;350
01/04/19;ES14;2=;354;334;255;288;387;361;320;233;194;97;83;53
01/04/19;ES15;1-;58;37;32;27;47;254;1053;1240;1133;878;764;789
01/04/19;ES15;1=;843;909;878;950;899;975;982;778;579;298;202;137
01/04/19;ES15;2-;47;33;15;11;35;171;799;1034;967;833;840;861
01/04/19;ES15;2=;863;962;930;855;1005;966;897;781;641;267;155;69
01/04/19;ES16;1-;228;144;93;79;128;343;1146;1457;1308;1351;1540;1574
01/04/19;ES16;1=;1545;1625;1414;1598;1612;1672;1613;1557;1200;817;588;480
01/04/19;ES16;2-;183;87;59;78;133;549;1505;1650;1575;1501;1446;1468
01/04/19;ES16;2=;1360;1259;1323;1391;1434;1300;1324;1173;939;498;358;229
01/04/19;ES17;1-;288;158;144;160;342;1538;3088;3500;3440;2908;2865;2744
01/04/19;ES17;1=;2490;2607;2637;2775;2815;2904;2740;2410;1971;1252;717;451
01/04/19;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES18;1-;50;28;23;29;42;313;1248;1152;1217;838;719;704
01/04/19;ES18;1=;605;661;626;739;708;661;617;535;378;206;140;95
01/04/19;ES18;2-;77;32;22;27;29;74;322;574;657;785;783;807
01/04/19;ES18;2=;878;1091;831;849;982;1145;1273;1058;659;391;260;162
01/04/19;ES19;1-;154;134;114;89;119;328;680;1131;1080;1037;1021;1074
01/04/19;ES19;1=;987;1008;938;1015;1119;1244;1183;907;691;488;379;272
01/04/19;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES20;1-;3355;2057;1037;699;493;592;1302;4120;8651;9999;8934;8121
01/04/19;ES20;1=;8421;8930;9999;9999;9999;9999;9999;9999;9999;9999;8473;5993
01/04/19;ES20;2-;2948;1549;838;511;454;720;2634;9999;7682;7268;7832;9999
01/04/19;ES20;2=;9226;9011;9999;9999;9999;9999;9999;9999;9746;8413;7084;4511
01/04/19;ES21;1-;67;40;21;29;55;195;1185;1699;1422;962;899;1026
01/04/19;ES21;1=;1077;1182;943;1157;1086;1209;1180;1044;668;424;265;178
01/04/19;ES21;2-;63;48;20;26;71;285;894;1905;1948;1541;1334;1374
01/04/19;ES21;2=;1249;1368;1299;1556;1757;1845;1664;1201;797;401;240;134
01/04/19;ES22;1-;147;98;82;103;120;576;1566;1365;1704;1377;1140;1070
01/04/19;ES22;1=;959;1020;859;949;1350;1041;919;905;815;640;507;352
01/04/19;ES22;2-;524;278;204;84;124;371;905;1266;1189;1157;1109;1255
01/04/19;ES22;2=;1257;1231;1333;1235;1209;1411;1472;1577;1467;1142;760;572
01/04/19;ES23;1-;361;272;198;257;495;1766;3569;3896;3717;2882;2471;2457
01/04/19;ES23;1=;2263;2157;2084;2248;2214;2093;2077;1843;1393;1034;719;581
01/04/19;ES23;2-;734;565;392;324;483;811;1320;1625;1797;1958;2220;2313
01/04/19;ES23;2=;2514;2843;2394;2350;2814;2979;2875;2390;1941;1477;1219;1113
01/04/19;ES24;1-;129;73;53;44;79;165;402;738;635;709;653;792
01/04/19;ES24;1=;838;961;831;843;768;861;1000;993;802;692;480;313
01/04/19;ES24;2-;114;98;65;57;105;389;1390;1353;994;801;826;747
01/04/19;ES24;2=;696;737;674;794;737;702;715;573;470;334;262;188
01/04/19;ES25;1-;106;79;61;0;10;124;190;251;253;269;274;266
01/04/19;ES25;1=;258;236;224;256;232;230;209;218;196;165;142;145
01/04/19;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES26;1-;197;156;79;76;77;131;553;512;304;399;602;624
01/04/19;ES26;1=;622;526;509;50;532;493;240;495;426;358;341;275
01/04/19;ES26;2-;114;60;68;44;57;135;158;218;322;363;352;365
01/04/19;ES26;2=;275;332;310;328;329;313;317;310;278;230;190;160
01/04/19;ES27;1-;270;174;136;125;181;448;1281;1754;1808;1625;1630;1515
01/04/19;ES27;1=;1646;1559;1540;1471;1513;1535;1665;1462;1148;925;857;811
01/04/19;ES27;2-;282;173;147;186;283;698;1550;1785;1188;1578;1134;1157
01/04/19;ES27;2=;1202;1296;1622;1100;1124;1323;1194;1473;1223;943;572;668
01/04/19;ES28;1-;87;57;44;46;85;264;582;812;802;717;768;902
01/04/19;ES28;1=;883;981;809;855;1135;1279;1180;821;580;326;203;129
01/04/19;ES28;2-;105;67;47;80;186;575;1465;1699;1791;1148;974;976
01/04/19;ES28;2=;991;980;935;1003;1065;1053;1104;818;591;362;233;155
01/04/19;ES29;1-;415;293;243;254;675;1474;2065;2237;2162;2199;2122;2079
01/04/19;ES29;1=;2113;2179;2121;2101;2270;2165;2070;1903;1542;1026;859;622
01/04/19;ES29;2-;282;219;142;168;440;991;2027;2335;2451;2203;2133;2054
01/04/19;ES29;2=;2123;2146;2070;2101;2246;2288;2356;2098;1625;1076;842;678
01/04/19;ES30;1-;74;44;38;36;58;123;346;572;542;612;499;562
01/04/19;ES30;1=;505;542;492;467;439;519;558;593;530;288;269;210
01/04/19;ES30;2-;111;69;82;95;87;332;1132;1515;1377;1146;905;824
01/04/19;ES30;2=;858;835;810;812;812;937;950;917;790;634;428;189
01/04/19;ES31;1-;62;57;34;39;28;32;75;226;346;382;279;291
01/04/19;ES31;1=;325;411;531;349;353;400;421;438;425;368;190;121
01/04/19;ES31;2-;37;50;34;32;28;34;83;226;609;667;313;297
01/04/19;ES31;2=;280;263;277;300;352;355;356;375;285;206;109;79
01/04/19;ES32;1-;204;90;103;97;86;330;945;1179;864;852;729;771
01/04/19;ES32;1=;694;619;618;636;745;765;690;675;632;505;338;242
01/04/19;ES32;2-;129;73;55;68;68;153;282;440;333;399;389;446
01/04/19;ES32;2=;485;500;501;470;446;465;496;477;446;404;294;221
01/04/19;ES33;1-;163;78;50;55;63;111;518;1799;1941;1986;1394;1110
01/04/19;ES33;1=;1095;1102;1305;1142;1224;1338;1368;1335;1101;874;467;326
01/04/19;ES33;2-;119;56;46;36;42;55;170;690;1326;1078;777;667
01/04/19;ES33;2=;699;780;1196;1242;1133;1370;1659;1605;1174;690;412;207
01/04/19;ES34;1-;143;116;110;132;109;193;313;390;393;361;363;488
01/04/19;ES34;1=;289;383;266;318;442;414;404;236;238;218;174;164
01/04/19;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES36;1-;172;122;88;72;119;592;2176;2489;2373;1701;1855;1858
01/04/19;ES36;1=;2079;2239;1940;1935;1844;2207;2190;1991;1442;945;675;462
01/04/19;ES36;2-;145;67;49;58;143;531;1796;2688;2513;2213;2043;1977
01/04/19;ES36;2=;1996;2002;2080;2142;2397;2620;2447;1840;1296;821;495;207
01/04/19;ES37;1-;107;84;51;67;82;324;1364;2083;1920;1370;1392;1445
01/04/19;ES37;1=;1656;1905;1647;1580;1823;1896;1734;1535;1104;658;440;278
01/04/19;ES37;2-;97;45;37;57;159;685;1608;2605;2380;1988;1696;1633
01/04/19;ES37;2=;1746;1851;1754;1986;1926;2270;1901;1434;1080;627;343;174
01/04/19;ES38;1-;76;21;17;16;14;26;117;384;937;721;509;480
01/04/19;ES38;1=;626;598;699;728;681;920;942;909;656;435;268;153
01/04/19;ES38;2-;47;19;12;9;12;29;244;903;1062;770;486;416
01/04/19;ES38;2=;455;483;533;457;494;566;527;530;414;286;126;87
01/04/19;ES39;1-;621;243;85;53;38;63;180;1472;2582;3198;2765;1630
01/04/19;ES39;1=;1483;1499;1593;2039;1967;1667;1894;2036;1821;1598;1230;623
01/04/19;ES39;2-;425;242;106;59;38;46;139;604;2163;2369;1777;1339
01/04/19;ES39;2=;1410;1490;1640;2040;2143;2145;2372;2397;2135;1769;1361;831
01/04/19;ES40;1-;224;116;106;104;241;710;2773;2985;2703;2138;2196;2297
01/04/19;ES40;1=;2358;2518;2373;2337;2536;2605;2427;2205;1725;873;599;313
01/04/19;ES40;2-;197;73;88;95;203;745;1968;2416;2243;1833;1808;1750
01/04/19;ES40;2=;1837;2237;1907;2141;2189;2394;2432;1970;1451;911;589;416
01/04/19;ES41;1-;159;138;108;105;176;540;1322;1561;1225;1049;1138;1252
01/04/19;ES41;1=;1166;1194;974;1073;944;1106;1157;1491;843;532;310;225
01/04/19;ES41;2-;121;106;73;75;135;324;647;960;1059;1071;995;976
01/04/19;ES41;2=;948;989;984;1075;1191;1254;1118;833;622;443;337;232
01/04/19;ES42;1-;87;56;54;56;69;240;709;1347;1178;832;933;886
01/04/19;ES42;1=;972;981;886;894;958;1060;1012;836;556;338;209;119
01/04/19;ES42;2-;96;47;38;36;67;264;784;1587;1683;1177;1095;1093
01/04/19;ES42;2=;1148;1106;1078;1056;1282;1290;1191;1008;637;394;246;141
01/04/19;ES43;1-;229;127;71;75;71;126;522;1043;1116;959;867;838
01/04/19;ES43;1=;756;727;766;756;801;802;788;777;721;552;353;248
01/04/19;ES43;2-;262;146;84;59;53;75;38;472;748;655;523;569
01/04/19;ES43;2=;643;652;685;658;691;702;761;775;713;591;437;340
01/04/19;ES44;1-;268;171;118;136;268;646;1216;1865;2113;2143;1962;2007
01/04/19;ES44;1=;2239;2241;2001;2122;2192;2370;2275;1948;1434;890;704;486
01/04/19;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES45;1-;317;216;156;154;298;907;2579;2797;2431;2036;2120;2060
01/04/19;ES45;1=;2035;2066;1734;2071;2010;2113;2014;1692;1388;984;734;576
01/04/19;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/19;ES46;1-;108;76;65;75;165;517;824;850;834;697;786;860
01/04/19;ES46;1=;883;978;808;848;963;968;958;849;690;488;276;159
01/04/19;ES46;2-;109;76;69;67;119;358;792;1174;1004;836;844;906
01/04/19;ES46;2=;865;965;928;931;922;1029;978;814;680;526;319;134
01/04/19;ES47;1-;203;135;79;66;108;485;822;1150;919;942;994;964
01/04/19;ES47;1=;942;966;952;982;991;999;1013;887;799;612;406;309
01/04/19;ES47;2-;178;101;96;105;149;425;685;800;927;901;802;844
01/04/19;ES47;2=;861;819;817;882;816;964;916;728;638;451;329;267
01/04/19;ES48;1-;80;37;35;45;159;1353;2753;3010;2333;1214;976;927
01/04/19;ES48;1=;966;1097;1102;1003;972;994;926;848;622;453;236;150
01/04/19;ES48;2-;88;43;59;54;106;333;660;821;768;709;789;847
01/04/19;ES48;2=;925;1494;1688;1402;1973;2251;1627;1170;756;452;288;144
01/04/19;ES49;1-;80;57;37;27;66;324;1138;1135;900;704;745;683
01/04/19;ES49;1=;665;689;698;702;684;670;621;535;423;284;171;99
01/04/19;ES49;2-;65;43;43;35;42;30;68;213;349;476;398;403
