DIA,MES,ANO,HORA,CO,NO,NO2,PM2.5,PM10,NOx,O3
1,1,2019,1,0.6,81,73,,,196,3.08
1,1,2019,2,0.8,124,82,,,272,3.05
1,1,2019,3,0.7,93,72,,,215,3.13
1,1,2019,4,0.6,86,66,,,198,3.02
1,1,2019,5,0.6,79,64,,,185,2.98
1,1,2019,6,0.6,67,56,,,159,2.79
1,1,2019,7,0.6,70,56,,,164,2.87
1,1,2019,8,0.5,57,52,,,140,2.82
1,1,2019,9,0.5,62,49,,,145,2.86
1,1,2019,10,0.5,59,46,,,137,4.39
1,1,2019,11,0.5,57,48,,,135,8.9
1,1,2019,12,0.5,40,47,,,108,17.69
1,1,2019,13,0.4,31,42,,,89,26.02
1,1,2019,14,0.3,23,38,,,72,34.18
1,1,2019,15,0.3,24,42,,,79,35.66
1,1,2019,16,0.3,21,44,,,76,38.96
1,1,2019,17,0.3,21,50,,,82,33.51
1,1,2019,18,0.6,134,104,,,309,8.05
1,1,2019,19,0.8,199,129,,,434,2.95
1,1,2019,20,1.8,435,201,,,868,3.18
1,1,2019,21,1.2,200,135,,,442,3.13
1,1,2019,22,1.0,169,118,,,377,3.29
1,1,2019,23,0.8,122,96,,,283,3.3
1,1,2019,24,0.6,90,77,,,214,3.14
1,1,2020,1,0.8,105,63,39.0,51.0,224,3.83
1,1,2020,2,1.0,144,72,67.0,79.0,293,3.71
1,1,2020,3,0.9,136,68,60.0,66.0,277,3.68
1,1,2020,4,0.8,110,57,43.0,48.0,225,3.59
1,1,2020,5,0.8,94,52,38.0,41.0,195,3.65
1,1,2020,6,0.7,88,46,34.0,37.0,182,3.41
1,1,2020,7,0.7,87,45,32.0,35.0,178,3.35
1,1,2020,8,0.7,78,44,29.0,33.0,165,3.33
1,1,2020,9,0.7,81,43,27.0,30.0,167,3.46
1,1,2020,10,0.6,73,41,32.0,35.0,153,4.56
1,1,2020,11,0.6,61,41,31.0,34.0,135,7.29
1,1,2020,12,0.5,48,44,32.0,36.0,118,13.65
1,1,2020,13,0.5,40,43,28.0,32.0,104,19.4
1,1,2020,14,0.5,64,60,31.0,35.0,158,16.91
1,1,2020,15,0.6,56,62,35.0,41.0,148,19.05
1,1,2020,16,0.5,46,61,34.0,40.0,131,19.79
1,1,2020,17,0.5,50,66,34.0,40.0,142,15.23
1,1,2020,18,0.5,72,79,32.0,38.0,190,7.8
1,1,2020,19,1.0,185,105,39.0,47.0,388,4.2
1,1,2020,20,1.2,240,120,45.0,55.0,489,4.15
1,1,2020,21,1.6,289,130,45.0,54.0,573,4.25
1,1,2020,22,0.9,121,88,50.0,57.0,274,3.9
1,1,2020,23,0.9,117,81,39.0,44.0,260,3.82
1,1,2020,24,0.8,90,67,35.0,39.0,206,3.83
1,1,2021,1,0.2,4,21,9.0,11.0,28,57.17
1,1,2021,2,0.3,5,28,16.0,18.0,37,54.89
1,1,2021,3,0.2,1,10,5.0,6.0,12,68.13
1,1,2021,4,0.2,1,8,1.0,1.0,9,68.58
1,1,2021,5,0.2,1,7,1.0,1.0,8,65.8
1,1,2021,6,0.2,1,9,1.0,2.0,10,60.42
1,1,2021,7,0.3,3,19,3.0,3.0,24,51.5
1,1,2021,8,0.2,1,11,3.0,4.0,13,59.05
1,1,2021,9,0.2,1,9,2.0,2.0,10,62.45
1,1,2021,10,0.2,2,12,2.0,2.0,14,61.44
1,1,2021,11,0.2,2,8,4.0,4.0,11,68.29
1,1,2021,12,0.2,2,8,2.0,3.0,11,73.34
1,1,2021,13,0.2,3,9,2.0,2.0,14,73.87
1,1,2021,14,0.2,4,11,3.0,4.0,17,72.77
1,1,2021,15,0.2,3,11,1.0,1.0,16,71.86
1,1,2021,16,0.2,3,9,4.0,5.0,13,74.39
1,1,2021,17,0.2,3,11,6.0,7.0,16,72.22
