DIA,MES,ANO,HORA,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BARIOMETRICA,PRECIPITACIONES
1,1,2019,1,0.68,48.0,2.6,71,959,0.0
1,1,2019,2,0.69,32.0,2.5,71,959,0.0
1,1,2019,3,0.7,43.0,1.7,74,959,0.0
1,1,2019,4,0.7,74.0,1.1,75,959,0.0
1,1,2019,5,0.66,67.0,1.2,74,959,0.0
1,1,2019,6,0.67,31.0,0.2,78,959,0.0
1,1,2019,7,0.79,67.0,-0.3,80,959,0.0
1,1,2019,8,0.77,62.0,-0.3,79,959,0.0
1,1,2019,9,0.85,78.0,-1.0,81,960,0.0
1,1,2019,10,0.71,82.0,-0.3,77,960,0.0
1,1,2019,11,0.63,73.0,4.0,60,960,0.0
1,1,2019,12,0.64,65.0,8.9,43,960,0.0
1,1,2019,13,0.77,128.0,11.1,37,960,0.0
1,1,2019,14,0.77,62.0,12.8,34,959,0.0
1,1,2019,15,0.81,106.0,14.6,32,959,0.0
1,1,2019,16,0.79,126.0,15.2,30,958,0.0
1,1,2019,17,0.73,175.0,16.4,29,958,0.0
1,1,2019,18,0.53,186.0,15.2,33,958,0.0
1,1,2019,19,0.51,236.0,8.7,48,959,0.0
1,1,2019,20,0.53,19.0,7.2,57,959,0.0
1,1,2019,21,0.68,78.0,6.8,61,959,0.0
1,1,2019,22,0.79,68.0,5.2,66,959,0.0
1,1,2019,23,0.79,83.0,3.8,71,959,0.0
1,1,2019,24,0.65,73.0,2.7,74,959,0.0
1,1,2020,1,0.66,74.0,3.6,90,960,0.0
1,1,2020,2,0.71,53.0,3.2,89,960,0.0
1,1,2020,3,0.71,67.0,2.8,89,960,0.0
1,1,2020,4,0.72,53.0,2.2,90,960,0.0
1,1,2020,5,0.69,76.0,1.6,90,960,0.0
1,1,2020,6,0.68,67.0,1.1,90,960,0.0
1,1,2020,7,0.81,74.0,0.8,90,960,0.0
1,1,2020,8,0.66,77.0,0.7,90,960,0.0
1,1,2020,9,0.81,77.0,0.3,90,960,0.0
1,1,2020,10,0.74,74.0,1.1,86,961,0.0
1,1,2020,11,0.63,78.0,4.8,73,961,0.0
1,1,2020,12,0.7,83.0,8.7,59,961,0.0
1,1,2020,13,0.83,88.0,10.1,55,961,0.0
1,1,2020,14,0.97,106.0,11.9,54,960,0.0
1,1,2020,15,0.9,139.0,13.7,50,959,0.0
1,1,2020,16,0.94,109.0,14.0,51,958,0.0
1,1,2020,17,0.98,144.0,14.0,53,958,0.0
1,1,2020,18,0.75,106.0,12.8,59,959,0.0
1,1,2020,19,0.53,209.0,9.1,74,959,0.0
1,1,2020,20,0.52,246.0,7.5,82,959,0.0
1,1,2020,21,0.55,62.0,6.9,85,959,0.0
1,1,2020,22,0.74,59.0,6.0,85,959,0.0
1,1,2020,23,0.76,70.0,5.1,86,959,0.0
1,1,2020,24,0.65,72.0,4.1,88,959,0.0
1,1,2021,1,0.97,237.0,3.9,88,938,0.0
1,1,2021,2,1.15,247.0,3.8,83,938,0.0
1,1,2021,3,1.17,248.0,4.3,79,937,0.0
1,1,2021,4,0.91,245.0,4.4,79,937,0.0
1,1,2021,5,0.9,259.0,4.2,78,937,0.0
1,1,2021,6,0.77,247.0,3.7,78,937,0.0
1,1,2021,7,0.69,268.0,3.7,76,938,0.0
1,1,2021,8,1.01,249.0,3.5,74,938,0.0
1,1,2021,9,1.16,262.0,3.1,75,938,0.0
1,1,2021,10,1.07,295.0,3.8,71,939,0.0
1,1,2021,11,1.61,270.0,5.9,59,940,0.0
1,1,2021,12,1.55,269.0,6.9,52,940,0.0
1,1,2021,13,1.97,242.0,7.5,47,939,0.0
1,1,2021,14,2.05,258.0,7.5,46,939,0.0
1,1,2021,15,2.21,273.0,7.0,49,938,0.0
1,1,2021,16,2.15,260.0,8.1,46,938,0.0
1,1,2021,17,1.82,260.0,8.0,45,938,0.0
1,1,2021,18,1.55,248.0,6.8,47,939,0.0
1,1,2021,19,1.42,239.0,5.4,54,939,0.0
1,1,2021,20,1.9,239.0,4.4,57,939,0.0
1,1,2021,21,1.86,251.0,4.1,63,939,0.0
