DIA,MES,ANO,HORA,ES10,ES53,ES54,fechaH,fecha
1,1,2019,1,415.0,489.0,362.0,2019-01-01 00:00:00,2019-01-01
1,1,2019,2,757.0,732.0,650.0,2019-01-01 01:00:00,2019-01-01
1,1,2019,3,624.0,567.0,478.0,2019-01-01 02:00:00,2019-01-01
1,1,2019,4,474.0,495.0,333.0,2019-01-01 03:00:00,2019-01-01
1,1,2019,5,285.0,335.0,239.0,2019-01-01 04:00:00,2019-01-01
1,1,2019,6,258.0,266.0,211.0,2019-01-01 05:00:00,2019-01-01
1,1,2019,7,295.0,347.0,245.0,2019-01-01 06:00:00,2019-01-01
1,1,2019,8,227.0,293.0,228.0,2019-01-01 07:00:00,2019-01-01
1,1,2019,9,176.0,221.0,147.0,2019-01-01 08:00:00,2019-01-01
1,1,2019,10,146.0,254.0,141.0,2019-01-01 09:00:00,2019-01-01
1,1,2019,11,169.0,250.0,135.0,2019-01-01 10:00:00,2019-01-01
1,1,2019,12,227.0,309.0,174.0,2019-01-01 11:00:00,2019-01-01
1,1,2019,13,367.0,393.0,299.0,2019-01-01 12:00:00,2019-01-01
1,1,2019,14,487.0,513.0,417.0,2019-01-01 13:00:00,2019-01-01
1,1,2019,15,513.0,547.0,477.0,2019-01-01 14:00:00,2019-01-01
1,1,2019,16,360.0,496.0,447.0,2019-01-01 15:00:00,2019-01-01
1,1,2019,17,431.0,537.0,419.0,2019-01-01 16:00:00,2019-01-01
1,1,2019,18,499.0,594.0,461.0,2019-01-01 17:00:00,2019-01-01
1,1,2019,19,557.0,701.0,558.0,2019-01-01 18:00:00,2019-01-01
1,1,2019,20,590.0,711.0,519.0,2019-01-01 19:00:00,2019-01-01
1,1,2019,21,481.0,615.0,477.0,2019-01-01 20:00:00,2019-01-01
1,1,2019,22,396.0,514.0,439.0,2019-01-01 21:00:00,2019-01-01
1,1,2019,23,283.0,464.0,324.0,2019-01-01 22:00:00,2019-01-01
1,1,2019,24,215.0,331.0,233.0,2019-01-01 23:00:00,2019-01-01
1,1,2020,1,450.0,488.0,399.0,2020-01-01 00:00:00,2020-01-01
1,1,2020,2,796.0,763.0,661.0,2020-01-01 01:00:00,2020-01-01
1,1,2020,3,653.0,576.0,467.0,2020-01-01 02:00:00,2020-01-01
1,1,2020,4,439.0,482.0,349.0,2020-01-01 03:00:00,2020-01-01
1,1,2020,5,332.0,407.0,237.0,2020-01-01 04:00:00,2020-01-01
1,1,2020,6,291.0,350.0,224.0,2020-01-01 05:00:00,2020-01-01
1,1,2020,7,279.0,353.0,248.0,2020-01-01 06:00:00,2020-01-01
1,1,2020,8,235.0,295.0,220.0,2020-01-01 07:00:00,2020-01-01
1,1,2020,9,180.0,227.0,203.0,2020-01-01 08:00:00,2020-01-01
1,1,2020,10,156.0,214.0,151.0,2020-01-01 09:00:00,2020-01-01
1,1,2020,11,167.0,234.0,145.0,2020-01-01 10:00:00,2020-01-01
1,1,2020,12,244.0,289.0,181.0,2020-01-01 11:00:00,2020-01-01
1,1,2020,13,363.0,349.0,299.0,2020-01-01 12:00:00,2020-01-01
1,1,2020,14,459.0,536.0,500.0,2020-01-01 13:00:00,2020-01-01
1,1,2020,15,498.0,513.0,514.0,2020-01-01 14:00:00,2020-01-01
1,1,2020,16,362.0,551.0,472.0,2020-01-01 15:00:00,2020-01-01
1,1,2020,17,353.0,522.0,385.0,2020-01-01 16:00:00,2020-01-01
1,1,2020,18,501.0,603.0,443.0,2020-01-01 17:00:00,2020-01-01
1,1,2020,19,612.0,697.0,553.0,2020-01-01 18:00:00,2020-01-01
1,1,2020,20,580.0,706.0,569.0,2020-01-01 19:00:00,2020-01-01
1,1,2020,21,499.0,582.0,521.0,2020-01-01 20:00:00,2020-01-01
1,1,2020,22,403.0,499.0,380.0,2020-01-01 21:00:00,2020-01-01
1,1,2020,23,331.0,470.0,328.0,2020-01-01 22:00:00,2020-01-01
1,1,2020,24,230.0,345.0,245.0,2020-01-01 23:00:00,2020-01-01
1,1,2021,1,420.0,354.0,347.0,2021-01-01 00:00:00,2021-01-01
1,1,2021,2,456.0,291.0,460.0,2021-01-01 01:00:00,2021-01-01
1,1,2021,3,169.0,143.0,134.0,2021-01-01 02:00:00,2021-01-01
1,1,2021,4,69.0,67.0,102.0,2021-01-01 03:00:00,2021-01-01
